HIG,20180208,0.998,0.81,2018,2,8
HII,20180215,2.984,3.11,2018,2,15
HLT,20180214,0.438,0.54,2018,2,14
HOG,20180130,1.239,0.4759,2018,1,30
HOLX,20180208,0.509,0.55,2018,2,8
HON,20180126,1.956,1.85,2018,1,26
HP,20180125,-0.107,-0.02,2018,1,25
HPE,20180222,0.259,0.31,2018,2,22
HPQ,20180222,0.438,0.44,2018,2,22
HRB,20180306,3.748,-0.7094,2018,3,6
HRL,20180222,0.402,0.41,2018,2,22
HRS,20180130,1.584,1.67,2018,1,30
HSIC,20180220,0.89,0.97,2018,2,20
HST,20180221,0.155,0.1244,2018,2,21
HSY,20180201,1.399,1.03,2018,2,1
HUM,20180207,3.18,2.06,2018,2,7
IBM,20180118,3.139,5.18,2018,1,18
ICE,20180207,0.832,0.73,2018,2,7
IDXX,20180201,0.78,0.7775,2018,2,1
IFF,20180214,1.577,1.4,2018,2,14
ILMN,20180130,1.026,1.44,2018,1,30
INCY,20180215,0.167,-0.6116,2018,2,15
INTC,20180125,0.725,1.08,2018,1,25
INTU,20180222,4.306,-0.0613,2018,2,22
IP,20180201,0.988,1.27,2018,2,1
IPG,20180214,0.024,0.79,2018,2,14
IPGP,20180216,1.68,1.8681,2018,2,16
IQV,20180214,1.193,1.4,2018,2,14
IR,20180131,0.694,1.02,2018,1,31
IRM,20180216,0.273,0.2337,2018,2,16
ISRG,20180125,2.279,2.4797,2018,1,25
IT,20180206,0.697,1.17,2018,2,6
ITW,20180124,1.737,1.7,2018,1,24
IVZ,20180131,0.666,0.73,2018,1,31
JBHT,20180118,1.084,0.9156,2018,1,18
JCI,20180131,0.54,0.54,2018,1,31
JEC,20180207,0.878,0.77,2018,2,7
JNJ,20180123,2.009,1.74,2018,1,23
JNPR,20180130,0.421,0.431,2018,1,30
JPM,20180112,1.991,1.7355,2018,1,12
JWN,20180301,0.399,0.6754,2018,3,1
K,20180208,1.052,0.96,2018,2,8
KEY,20180118,0.377,0.36,2018,1,18
KHC,20180216,0.929,0.9,2018,2,16
KIM,20180215,0.14,0.2277,2018,2,15
KLAC,20180125,1.779,1.97,2018,1,25
KMB,20180123,1.584,1.57,2018,1,23
KMI,20180117,0.158,0.21,2018,1,17
KO,20180216,0.448,0.39,2018,2,16
KORS,20180207,0.573,1.77,2018,2,7
KR,20180308,0.582,0.44,2018,3,8
KSS,20180301,0.374,0.7,2018,3,1
KSU,20180119,1.457,1.38,2018,1,19
L,20180212,0.785,0.2176,2018,2,12
LB,20180228,0.307,0.3,2018,2,28
LEG,20180205,0.683,0.59,2018,2,5
LH,20180206,2.42,2.45,2018,2,6
LKQ,20180222,0.556,0.41,2018,2,22
LLL,20180125,2.058,2.35,2018,1,25
LLY,20180131,1.086,1.14,2018,1,31
LNC,20180131,1.857,1.98,2018,1,31
LNT,20180222,0.54,0.33,2018,2,22
LOW,20180228,1.186,1.05,2018,2,28
